
Device: cuda

=== Model: ConvTran ===

--- Dataset BIDMC32SpO2 ---
/home/labic/miniconda3/envs/merlin_thesis/lib/python3.12/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4322.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
/home/labic/miniconda3/envs/merlin_thesis/lib/python3.12/site-packages/torch/nn/modules/conv.py:543: UserWarning: Using padding='same' with even kernel lengths and odd dilation may require a zero-padded copy of the input be created (Triggered internally at /pytorch/aten/src/ATen/native/Convolution.cpp:1027.)
  return F.conv2d(
Epoch 286/2000 | Train Loss: 0.001196
Epoch 287/2000 | Train Loss: 0.001031
Epoch 288/2000 | Train Loss: 0.001374
Epoch 289/2000 | Train Loss: 0.001708
Epoch 290/2000 | Train Loss: 0.000991
Epoch 291/2000 | Train Loss: 0.001090
Epoch 292/2000 | Train Loss: 0.001019
Epoch 293/2000 | Train Loss: 0.001056
Epoch 294/2000 | Train Loss: 0.001026
Epoch 295/2000 | Train Loss: 0.001265
Epoch 296/2000 | Train Loss: 0.001367
Epoch 297/2000 | Train Loss: 0.001583
Epoch 298/2000 | Train Loss: 0.001151
Epoch 299/2000 | Train Loss: 0.001097
Epoch 300/2000 | Train Loss: 0.001138
Epoch 301/2000 | Train Loss: 0.000997
Epoch 302/2000 | Train Loss: 0.001227
Epoch 303/2000 | Train Loss: 0.001718
Epoch 304/2000 | Train Loss: 0.001091
Epoch 305/2000 | Train Loss: 0.000944
Epoch 306/2000 | Train Loss: 0.000857
Epoch 307/2000 | Train Loss: 0.000808
Epoch 308/2000 | Train Loss: 0.001167
Epoch 309/2000 | Train Loss: 0.001191
Epoch 310/2000 | Train Loss: 0.001126
Epoch 311/2000 | Train Loss: 0.001213
Epoch 312/2000 | Train Loss: 0.000989
Epoch 313/2000 | Train Loss: 0.001144
Epoch 314/2000 | Train Loss: 0.001260
Epoch 315/2000 | Train Loss: 0.001086
Epoch 316/2000 | Train Loss: 0.001320
Epoch 317/2000 | Train Loss: 0.001029
Epoch 318/2000 | Train Loss: 0.001030
Epoch 319/2000 | Train Loss: 0.000933
Epoch 320/2000 | Train Loss: 0.001460
Epoch 321/2000 | Train Loss: 0.001146
Epoch 322/2000 | Train Loss: 0.001189
Epoch 323/2000 | Train Loss: 0.001398
Epoch 324/2000 | Train Loss: 0.001040
Epoch 325/2000 | Train Loss: 0.000943
Epoch 326/2000 | Train Loss: 0.000998
Epoch 327/2000 | Train Loss: 0.001107
Epoch 328/2000 | Train Loss: 0.001098
Epoch 329/2000 | Train Loss: 0.001201
Epoch 330/2000 | Train Loss: 0.000914
Epoch 331/2000 | Train Loss: 0.000929
Epoch 332/2000 | Train Loss: 0.000822
Epoch 333/2000 | Train Loss: 0.001158
Epoch 334/2000 | Train Loss: 0.001068
Epoch 335/2000 | Train Loss: 0.000803
Epoch 336/2000 | Train Loss: 0.001068
Epoch 337/2000 | Train Loss: 0.001125
Epoch 338/2000 | Train Loss: 0.001059
Epoch 339/2000 | Train Loss: 0.000868
Epoch 340/2000 | Train Loss: 0.000838
Epoch 341/2000 | Train Loss: 0.001015
Epoch 342/2000 | Train Loss: 0.001054
Epoch 343/2000 | Train Loss: 0.001036
Epoch 344/2000 | Train Loss: 0.000948
Epoch 345/2000 | Train Loss: 0.000929
Epoch 346/2000 | Train Loss: 0.001025
Epoch 347/2000 | Train Loss: 0.001063
Epoch 348/2000 | Train Loss: 0.001423
Epoch 349/2000 | Train Loss: 0.001422
Epoch 350/2000 | Train Loss: 0.000982
Epoch 351/2000 | Train Loss: 0.000886
Epoch 352/2000 | Train Loss: 0.001077
Epoch 353/2000 | Train Loss: 0.000905
Epoch 354/2000 | Train Loss: 0.000851
Epoch 355/2000 | Train Loss: 0.000813
Epoch 356/2000 | Train Loss: 0.000979
Epoch 357/2000 | Train Loss: 0.000902
Epoch 358/2000 | Train Loss: 0.001024
Epoch 359/2000 | Train Loss: 0.001123
Epoch 360/2000 | Train Loss: 0.000904
Epoch 361/2000 | Train Loss: 0.000764
Epoch 362/2000 | Train Loss: 0.000712
Epoch 363/2000 | Train Loss: 0.000938
Epoch 364/2000 | Train Loss: 0.001057
Epoch 365/2000 | Train Loss: 0.000969
Epoch 366/2000 | Train Loss: 0.000938
Epoch 367/2000 | Train Loss: 0.001067
Epoch 368/2000 | Train Loss: 0.001072
Epoch 369/2000 | Train Loss: 0.000991
Epoch 370/2000 | Train Loss: 0.000855
Epoch 371/2000 | Train Loss: 0.000845
Epoch 372/2000 | Train Loss: 0.000898
Epoch 373/2000 | Train Loss: 0.000837
Epoch 374/2000 | Train Loss: 0.001062
Epoch 375/2000 | Train Loss: 0.000896
Epoch 376/2000 | Train Loss: 0.000856
Epoch 377/2000 | Train Loss: 0.000750
Epoch 378/2000 | Train Loss: 0.001123
Epoch 379/2000 | Train Loss: 0.001066
Epoch 380/2000 | Train Loss: 0.000953
Epoch 381/2000 | Train Loss: 0.001139
Epoch 382/2000 | Train Loss: 0.000827
Epoch 383/2000 | Train Loss: 0.000706
Epoch 384/2000 | Train Loss: 0.000734
Epoch 385/2000 | Train Loss: 0.000824
Epoch 386/2000 | Train Loss: 0.001040
Epoch 387/2000 | Train Loss: 0.000875
Epoch 388/2000 | Train Loss: 0.001059
Epoch 389/2000 | Train Loss: 0.000811
Epoch 390/2000 | Train Loss: 0.000801
Epoch 391/2000 | Train Loss: 0.000834
Epoch 392/2000 | Train Loss: 0.000875
Epoch 393/2000 | Train Loss: 0.000745
Epoch 394/2000 | Train Loss: 0.000890
Epoch 395/2000 | Train Loss: 0.000729
Epoch 396/2000 | Train Loss: 0.001034
Epoch 397/2000 | Train Loss: 0.000773
Epoch 398/2000 | Train Loss: 0.000805
Epoch 399/2000 | Train Loss: 0.001002
Epoch 400/2000 | Train Loss: 0.000835
Epoch 401/2000 | Train Loss: 0.000872
Epoch 402/2000 | Train Loss: 0.000916
Epoch 403/2000 | Train Loss: 0.000801
Epoch 404/2000 | Train Loss: 0.000780
Epoch 405/2000 | Train Loss: 0.000813
Epoch 406/2000 | Train Loss: 0.000808
Epoch 407/2000 | Train Loss: 0.000967
Epoch 408/2000 | Train Loss: 0.001065
Epoch 409/2000 | Train Loss: 0.001066
Epoch 410/2000 | Train Loss: 0.000674
Epoch 411/2000 | Train Loss: 0.000716
Epoch 412/2000 | Train Loss: 0.000805
Epoch 413/2000 | Train Loss: 0.000722
Epoch 414/2000 | Train Loss: 0.000783
Epoch 415/2000 | Train Loss: 0.000741
Epoch 416/2000 | Train Loss: 0.000927
Epoch 417/2000 | Train Loss: 0.001121
Epoch 418/2000 | Train Loss: 0.000795
Epoch 419/2000 | Train Loss: 0.000789
Epoch 420/2000 | Train Loss: 0.000766
Epoch 421/2000 | Train Loss: 0.000815
Epoch 422/2000 | Train Loss: 0.000631
Epoch 423/2000 | Train Loss: 0.000840
Epoch 424/2000 | Train Loss: 0.001069
Epoch 425/2000 | Train Loss: 0.001224
Epoch 426/2000 | Train Loss: 0.000887
Epoch 427/2000 | Train Loss: 0.000791
