model,dataset,mse,mae,r2,rmse,best_train_loss,time,run
FCN,NewsHeadlineSentiment,0.028415420628755926,0.13011203619746184,-0.4044140841869437,0.16856874155298165,0.00026875794559898985,31854.572939395905,20251021_090528_run2_809776360
FCN,NewsTitleSentiment,0.027000728480986315,0.12287055716218331,-0.4156480436994081,0.16431898393364752,0.007566267368184924,25454.864983558655
FCN,NewsTitleSentiment,0.02629812994911489,0.12117398281613741,-0.3788108065911475,0.16216698168589957,0.000246467100696463,38880.04854917526,20251018_113946_run1_240634027
FCN,NewsTitleSentiment,0.025666482406179608,0.11952349119021255,-0.34569352943717924,0.1602076228092147,0.0002478829290568782,21379.934160232544,20251018_113946_run2_274589183
FCN,NewsTitleSentiment,0.02584903841498756,0.12049771977129402,-0.3552649399610299,0.1607763614931858,0.0002394543787610374,33872.49918079376,20251021_090528_run1_1088231328
FCN,NewsTitleSentiment,0.026257565555704097,0.12123291312073564,-0.37668401567081067,0.1620418635899504,0.00024852886368764807,24517.30317568779,20251021_090528_run2_809776360
FCN,PPGDalia,205.57246179583314,10.823443634307381,0.5892503547462138,14.337798359435563,4.924261819203253,23241.556720256805
FCN,PPGDalia,212.69543115126112,10.943557850598246,0.5750181122058613,14.584081429807677,0.26229643367664496,30353.802903175354,20251018_113946_run1_240634027
FCN,PPGDalia,212.27511310672406,10.91056891369338,0.5758579401000217,14.569664138432431,0.1982051140812692,50688.42088985443,20251021_090438_run1_1139365852
FCN,PPGDalia,214.36381029207962,11.04378731136892,0.5716845619129207,14.641168337673044,0.2025445357249537,42111.23937559128,20251021_090438_run2_1399936768
FCN,PPGDalia,216.56010063421587,11.137526434101147,0.5672962042942687,14.715981130533427,0.19937513014184205,36832.37778425217,20251021_090438_run3_1613190235
FCN,AustraliaRainfall,73.29534131198504,2.490229118444547,0.023342888626849856,8.561269842259678,8.376056846098198,13559.985970258713
FCN,AustraliaRainfall,76.47119769840675,2.4954150242698474,-0.018975254231588856,8.74478116926929,0.25203304353953915,31945.869418144226,20251018_113946_run1_240634027
FCN,AustraliaRainfall,81.00321631289343,2.609077567311611,-0.07936419750526102,9.000178682275893,0.17923021406052705,42154.41947031021,20251021_090438_run1_1139365852
FCN,AustraliaRainfall,75.66179825530075,2.6060616445687415,-0.008190043222254362,8.698379059071911,0.269272207566149,27846.39751791954,20251021_090438_run2_1399936768
FCN,AustraliaRainfall,76.90066729853139,2.462942813696261,-0.024697917249077328,8.769302554851862,0.2764813416232811,26087.587780237198,20251021_090438_run3_1613190235
